taz,hotelmotel,resort,casino,campground,house,seasonal
109,0.474023615,0.504877357,0,0,0.347390629,0.347390629
110,0,0.39185994,0,0,0.347390629,0.347390629
111,0.442099542,0.442099542,0,0,0.347390629,0.347390629
112,0.463409367,0,0,0,0.347390629,0.347390629
113,0.239635022,0,0,0,0.347390629,0.347390629
114,0,0,0,0,0.347390629,0.347390629
115,0.027339852,0,0,0,0.347390629,0.347390629
116,0,0,0,0,0.347390629,0.347390629
117,0,0,0,0,0,0
118,0.127375671,0.61774046,0,0,0.347390629,0.347390629
119,0,0.630758516,0,0,0.347390629,0.347390629
120,0,0,0,0,0.347390629,0.347390629
121,0,0,0,0.7,0.347390629,0.347390629
122,0,0,0,0,0,0
123,0,0,0,0,0.347390629,0.347390629
124,0.370633524,0,0,0,0.347390629,0.347390629
125,0.546344776,0,0,0,0.347390629,0.347390629
126,0,0,0,0,0.347390629,0.347390629
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0.347390629,0.347390629
134,0,0,0,0,0.347390629,0.347390629
135,0,0,0,0,0.347390629,0.347390629
136,0,0,0,0,0,0
137,0.08093616,0.08093616,0,0,0.347390629,0.347390629
138,0.08558102,0,0,0,0.347390629,0.347390629
139,0.08558102,0,0,0,0.347390629,0.347390629
140,0,0,0,0,0.347390629,0.347390629
141,0.108093048,0,0,0,0.347390629,0.347390629
142,0.11429641,0,0,0,0.347390629,0.347390629
143,0.11429641,0,0,0,0.347390629,0.347390629
144,0,0,0,0,0.347390629,0.347390629
145,0,0,0,0,0.347390629,0.347390629
146,0.52857048,0,0,0,0.347390629,0.347390629
147,0,0,0,0,0.347390629,0.347390629
148,0.59179971,0,0,0,0.347390629,0.347390629
149,0.160497109,0,0,0,0.347390629,0.347390629
150,0.086459362,0,0,0,0.347390629,0.347390629
151,0,0,0,0,0.347390629,0.347390629
152,0,0,0,0,0.347390629,0.347390629
153,0,0,0,0,0.347390629,0.347390629
154,0.67602264,0,0,0,0.347390629,0.347390629
155,0,0,0,0,0,0
156,0,0,0,0,0.347390629,0.347390629
157,0,0,0,0,0.347390629,0.347390629
158,0,0,0,0,0.347390629,0.347390629
159,0.128186854,0,0,0,0.347390629,0.347390629
160,0.639331933,0,0,0.433271735,0.347390629,0.347390629
161,0.67602264,0,0,0,0.347390629,0.347390629
162,0,0,0,0,0.347390629,0.347390629
163,0,0,0,0,0,0
164,0,0,0,0,0.3863335,0.3863335
165,0,0,0,0,0.3863335,0.3863335
166,0,0,0,0,0.3863335,0.3863335
167,0,0,0,0,0.347390629,0.347390629
168,0,0,0,0,0.3863335,0.3863335
169,0,0,0,0,0.3863335,0.3863335
170,0,0,0,0,0.3863335,0.3863335
171,0,0,0,0,0.3863335,0.3863335
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0.3863335,0.3863335
175,0,0,0,0,0.3863335,0.3863335
176,0,0,0,0,0.3863335,0.3863335
177,0,0,0,0,0.3863335,0.3863335
178,0,0,0,0,0.3863335,0.3863335
179,0,0,0,0,0.3863335,0.3863335
180,0,0,0,0.433271735,0.347390629,0.347390629
181,0,0,0,0,0,0
182,0,0,0,0,0.3863335,0.3863335
183,0,0,0,0,0.3863335,0.3863335
184,0,0,0,0,0.3863335,0.3863335
185,0,0,0,0,0.3863335,0.3863335
186,0,0,0,0,0.3863335,0.3863335
187,0,0,0,0.433271735,0.3863335,0.3863335
188,0,0,0,0,0.3863335,0.3863335
189,0,0,0,0,0.3863335,0.3863335
190,0,0,0,0,0.3863335,0.3863335
191,0,0,0,0,0.3863335,0.3863335
192,0,0,0,0,0.3863335,0.3863335
193,0,0,0,0,0.3863335,0.3863335
194,0,0,0,0,0.3863335,0.3863335
195,0,0,0,0,0.3863335,0.3863335
196,0,0,0,0,0.3863335,0.3863335
197,0,0,0,0,0.3863335,0.3863335
198,0,0,0,0,0,0
199,0,0,0,0,0.3863335,0.3863335
200,0,0,0,0,0.3863335,0.3863335
201,0,0,0,0,0,0
202,0,0,0,0,0.3863335,0.3863335
203,0,0.6135475,0,0,0.3863335,0.3863335
204,0,0,0,0.794331515,0,0
205,0,0,0,0,0,0
206,0,0,0,0.716101895,0,0
207,0,0,0,0,0.3863335,0.3863335
208,0,0,0,0,0.3863335,0.3863335
209,0,0,0,0,0.3863335,0.3863335
210,0,0,0,0,0.3863335,0.3863335
