SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
6000474683,6103,6,2,89030.7305,6474,15021
6000475489,1700,6,1,97367.71220000001,6475,15023
6000475984,6103,6,1,11321.827000000001,6476,15024
6000476379,300,6,2,38700.063200000004,6477,15025
6000476918,300,6,2,68857.2933,6478,15027
6000479023,300,6,5,83781.51980000001,6479,15029
6000479833,300,6,2,6175.542,6480,15034
6000482855,6103,6,1,19555.883,6481,15036
6000483247,300,6,1,0,6482,15037
6000484382,300,6,2,43846.3482,6483,15038
6000485349,1700,6,4,26760.682,6484,15040
6000486781,1700,6,1,10292.570000000002,6485,15044
6000487773,1700,6,1,82649.3371,6486,15045
6000488480,300,6,1,28407.4932,6487,15046
6000489239,1700,6,2,106631.0252,6488,15047
6000489258,1700,6,3,52697.9584,6489,15049
6000490753,1700,6,2,71945.06430000001,6490,15052
6000491081,300,6,1,22643.654000000002,6491,15054
6000491796,300,6,2,62990.5284,6492,15055
6000491848,300,6,1,31087.678428000003,6493,15057
6000493183,300,6,5,96750.15800000001,6494,15058
6000494873,6103,6,3,93868.2384,6495,15063
6000495033,6103,6,3,84707.85110000001,6496,15066
6000496647,300,6,1,5146.285000000001,6497,15069
6000499109,1700,6,3,127216.16520000002,6498,15070
6000499551,6103,6,1,11013.049900000002,6499,15073
6000500536,6103,6,7,56506.2093,6500,15074
6000501270,300,6,1,20173.4372,6501,15081
6000501449,6103,6,2,30877.710000000003,6502,15082
6000502459,1700,6,1,30908.587710000003,6503,15084
6000502628,300,6,5,118364.55500000001,6504,15085
6000503943,300,6,1,9880.8672,6505,15090
6000504173,1700,6,4,221290.255,6506,15091
6000505118,300,6,1,38288.360400000005,6507,15095
6000505278,300,6,1,66901.705,6508,15096
6000506859,300,6,2,49713.1131,6509,15097
6000509142,300,6,1,82340.56000000001,6510,15099
6000509548,300,6,1,75650.3895,6511,15100
6000511138,300,6,2,23878.762400000003,6512,15101
6000511627,300,6,2,29539.675900000002,6513,15103
6000511909,1700,6,5,166225.00550000003,6514,15105
6000514230,300,6,2,55579.878000000004,6515,15110
6000515349,6103,6,2,267606.82,6516,15112
6000516559,300,6,3,40346.8744,6517,15114
6000517941,300,6,2,109718.79620000001,6518,15117
6000518665,6103,6,2,199881.70940000002,6519,15119
6000519103,300,6,4,177032.20400000003,6520,15121
6000520824,300,6,4,114144.60130000001,6521,15125
6000522483,1700,6,2,49404.336,6522,15129
6000523127,1700,6,1,74106.504,6523,15131
6000525649,1700,6,1,9880.8672,6524,15132
6000530010,1700,6,1,91449.48445,6525,15133
6000531216,1700,6,2,86045.8852,6526,15134
6000532062,300,6,1,13586.192400000002,6527,15136
6000532235,300,6,1,43228.794,6528,15137
6000532953,1700,6,2,149036.4136,6529,15138
6000533701,1700,6,2,74106.504,6530,15140
6000535795,1700,6,2,92736.05570000001,6531,15142
6000535851,1700,6,1,0,6532,15144
6000537141,1700,6,1,66901.705,6533,15145
6000537976,1700,6,3,216143.97000000003,6534,15146
6000538679,300,6,2,82031.7829,6535,15149
6000539747,6103,6,1,61755.420000000006,6536,15151
6000539922,300,6,1,17497.369000000002,6537,15152
6000543641,300,6,3,80899.6002,6538,15153
6000543943,6103,6,2,185266.26,6539,15156
6000544600,300,6,1,55579.878000000004,6540,15158
6000547623,6103,6,2,219231.741,6541,15159
6000547637,300,6,3,164886.9714,6542,15161
6000548770,300,6,5,58153.020500000006,6543,15164
6000549013,6103,6,1,56609.135,6544,15169
6000549041,300,6,2,84604.92540000001,6545,15170
6000549147,300,6,4,143993.05430000002,6546,15172
6000549506,1700,6,4,77194.27500000001,6547,15176
6000550440,1700,6,2,53624.2897,6548,15180
6000551322,1700,6,1,55682.803700000004,6549,15182
6000552758,300,6,1,23672.911000000004,6550,15183
6000554495,6103,6,2,175076.61570000002,6551,15184
6000555588,300,6,2,106013.471,6552,15186
6000555799,1700,6,1,47345.82200000001,6553,15188
6000556605,300,6,2,158845.23281000002,6554,15189
6000557865,1700,6,3,101381.81450000001,6555,15191
6000558460,6103,6,2,117644.07510000002,6556,15194
6000560542,1700,6,1,97779.41500000001,6557,15196
6000561101,300,6,2,359828.24720000004,6558,15197
6000561353,6103,6,1,170444.9592,6559,15199
6000562320,6103,6,3,86457.588,6560,15200
6000564176,300,6,4,37053.252,6561,15203
6000564458,300,6,2,482824.4587,6562,15207
6000564810,300,6,5,111159.75600000001,6563,15209
6000565619,6103,6,5,134112.1871,6564,15214
6000566920,6103,6,1,73077.247,6565,15219
6000567241,1700,6,1,229524.31100000002,6566,15220
6000567627,300,6,2,44258.05100000001,6567,15221
6000569892,300,6,2,20585.140000000003,6568,15223
6000570039,6103,6,2,48992.633200000004,6569,15225
6000571083,300,6,1,25937.276400000002,6570,15227
6000572059,300,6,1,15438.855000000001,6571,15228
6000573128,6103,6,3,88104.39920000001,6572,15229
6000573366,6103,6,2,40305.70412,6573,15232
