State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
6,17,30401,4+,1,low,7
6,17,30401,4+,2,low,10
6,17,30401,4+,3+,low,4
6,17,30401,1,0,med,12
6,17,30401,1,1,med,8
6,17,30401,2,0,med,14
6,17,30401,2,1,med,11
6,17,30401,2,2,med,9
6,17,30401,3,0,med,1
6,17,30401,3,1,med,4
6,17,30401,3,2,med,4
6,17,30401,3,3+,med,1
6,17,30401,4+,0,med,1
6,17,30401,4+,1,med,4
6,17,30401,4+,2,med,6
6,17,30401,4+,3+,med,2
6,17,30402,1,0,high,20
6,17,30402,1,1,high,12
6,17,30402,2,0,high,21
6,17,30402,2,1,high,17
6,17,30402,2,2,high,14
6,17,30402,3,0,high,2
6,17,30402,3,1,high,6
6,17,30402,3,2,high,7
6,17,30402,3,3+,high,2
6,17,30402,4+,0,high,1
6,17,30402,4+,1,high,6
6,17,30402,4+,2,high,9
6,17,30402,4+,3+,high,3
6,17,30402,1,0,low,15
6,17,30402,1,1,low,9
6,17,30402,2,0,low,17
6,17,30402,2,1,low,13
6,17,30402,2,2,low,11
6,17,30402,3,0,low,2
6,17,30402,3,1,low,4
6,17,30402,3,2,low,5
6,17,30402,3,3+,low,1
6,17,30402,4+,0,low,1
6,17,30402,4+,1,low,5
6,17,30402,4+,2,low,7
6,17,30402,4+,3+,low,3
6,17,30402,1,0,med,12
6,17,30402,1,1,med,8
6,17,30402,2,0,med,13
6,17,30402,2,1,med,10
6,17,30402,2,2,med,9
6,17,30402,3,0,med,1
6,17,30402,3,1,med,3
6,17,30402,3,2,med,4
6,17,30402,3,3+,med,1
6,17,30402,4+,0,med,1
6,17,30402,4+,1,med,4
6,17,30402,4+,2,med,6
6,17,30402,4+,3+,med,2
6,17,30501,1,0,high,14
6,17,30501,1,1,high,9
6,17,30501,2,0,high,15
6,17,30501,2,1,high,12
6,17,30501,2,2,high,10
6,17,30501,3,0,high,1
6,17,30501,3,1,high,4
6,17,30501,3,2,high,5
6,17,30501,3,3+,high,1
6,17,30501,4+,0,high,1
6,17,30501,4+,1,high,5
6,17,30501,4+,2,high,7
6,17,30501,4+,3+,high,2
6,17,30501,1,0,low,43
6,17,30501,1,1,low,27
6,17,30501,2,0,low,46
6,17,30501,2,1,low,36
6,17,30501,2,2,low,30
6,17,30501,3,0,low,4
6,17,30501,3,1,low,12
6,17,30501,3,2,low,15
6,17,30501,3,3+,low,4
6,17,30501,4+,0,low,3
