SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
3000679797,200,32,4,9026.7535,554,1318
3000680073,200,32,1,15292.3824,555,1322
3000681954,102,32,4,153985.795,556,1323
3000682986,102,32,1,11681.681,557,1327
3000683911,200,32,2,100568.6537,558,1328
3000685178,102,32,1,29098.0054,559,1330
3000686489,102,32,1,301599.764,560,1331
3000689558,200,32,2,91966.6886,561,1332
3000691303,102,32,2,70302.4802,562,1334
3000692062,200,32,1,4035.4898,563,1336
3000692649,200,32,2,69983.8889,564,1337
3000694111,102,32,3,58408.405,565,1339
3000698575,200,32,2,10725.9071,566,1342
3000698601,102,32,4,120002.723,567,1344
3000699105,200,32,2,332821.7114,568,1348
3000702806,102,32,4,77576.98155,569,1350
3000702878,200,32,1,30797.159,570,1354
3000702910,200,32,2,42478.84,571,1355
3000703593,200,32,2,408858.835,572,1357
3000703788,102,32,2,120746.1027,573,1359
3000704862,200,32,2,26867.8663,574,1361
3000707304,102,32,2,77842.4743,575,1363
3000708235,102,32,1,39186.7299,576,1365
3000710335,200,32,2,56921.6456,577,1366
3000711022,200,32,3,58408.405,578,1368
3000711609,200,32,1,143578.4792,579,1371
3000712202,200,32,2,45983.3443,580,1372
3000714418,102,32,4,175225.215,581,1374
3000714609,200,32,2,46939.1182,582,1378
3000716602,200,32,5,116498.2187,583,1380
3000717773,200,32,2,38804.42034,584,1385
3000721018,200,32,3,75081.3497,585,1387
3000723311,102,32,1,7433.797,586,1390
3000725526,200,32,2,35363.6343,587,1391
3000728393,200,32,3,135528.73902,588,1393
3000729191,200,32,2,17097.7331,589,1396
3000730879,200,32,1,8920.5564,590,1398
3000731763,200,32,2,142835.0995,591,1399
3000732022,200,32,3,66904.173,592,1401
3000732475,200,32,4,69028.115,593,1404
3000734321,200,32,3,83364.7235,594,1408
3000736305,200,32,1,26018.2895,595,1411
3000736384,102,32,1,73275.999,596,1412
3000737354,200,32,1,64780.231,597,1413
3000738548,200,32,2,90267.535,598,1414
3000738718,200,32,1,14230.4114,599,1416
3000739229,200,32,2,85701.0597,600,1417
3000741156,200,32,2,114268.0796,601,1419
3000742025,102,32,4,61806.7122,602,1421
3000742697,102,32,2,85488.6655,603,1425
3000745277,102,32,2,95577.39,604,1427
3000747399,102,32,2,123401.0302,605,1429
3000747542,102,32,2,335264.2447,606,1431
3000747709,102,32,3,42160.2487,607,1433
3000748551,200,32,1,0,608,1436
3000749636,102,32,2,8368.33148,609,1437
3000751452,102,32,1,45027.5704,610,1439
