taz,overnight2day,percentThru
1,0.13,0.068
2,0.14,0.19
3,0.1,0.045
4,0.016,0.38
5,0.05,0.39
6,0.075,0.03
7,0.09,0.17
10,0.002,0
20,0.032,0
30,0.001,0
40,0.0001,0
50,0.05,0
60,0.03,0
70,0.03,0
