id,persons,children,femaleAdult,stayType,season
501291,4,2,1,3,1
501301,1,0,0,3,1
501311,2,0,1,5,1
501321,3,0,1,3,1
501331,3,0,1,5,1
501341,3,0,1,6,1
501361,2,0,1,3,1
501391,2,0,1,3,1
501401,1,0,1,2,1
501431,2,0,1,3,1
501461,2,0,0,3,1
501491,1,0,0,3,1
501511,4,2,1,6,1
501521,2,0,1,6,1
501551,2,0,1,6,1
501571,3,1,1,2,1
501591,2,0,1,6,1
501631,2,0,1,3,1
501711,2,0,0,3,1
501761,2,0,1,5,1
600141,1,0,0,5,1
600151,2,0,1,5,1
600161,3,1,1,6,1
600181,4,2,1,6,1
600191,4,3,0,6,1
600221,4,2,1,5,1
600231,3,1,1,5,1
600241,4,2,1,5,1
600261,6,4,1,5,1
600271,2,0,1,6,1
600311,2,0,1,5,1
600391,2,0,1,5,1
600401,2,0,1,5,1
600411,1,0,1,2,1
600421,3,0,1,5,1
600431,3,0,1,5,1
600441,5,3,1,5,1
600461,3,1,1,5,1
600511,3,1,1,6,1
600521,5,4,1,6,1
600541,2,0,1,6,1
600561,2,0,1,5,1
600661,4,2,1,2,1
600681,3,0,1,3,1
600711,2,0,1,3,1
600731,2,0,1,3,1
600741,3,1,1,3,1
600771,2,0,1,3,1
600781,5,2,1,6,1
600801,3,0,1,5,1
600841,2,0,0,3,1
600851,2,0,1,2,1
600861,4,2,1,3,1
600891,2,0,1,5,1
600911,5,1,1,5,1
600931,3,0,1,6,1
600961,2,0,1,5,1
600971,4,1,1,6,1
600991,3,2,1,5,1
601051,11,4,1,5,1
601071,4,2,1,2,1
601081,9,3,1,5,1
601091,3,2,1,5,1
601111,2,0,1,2,1
601151,5,1,1,5,1
601181,4,2,1,5,1
601201,2,0,1,4,1
601211,1,0,0,2,1
601231,1,0,1,5,1
601261,3,1,1,5,1
601281,2,0,1,5,1
601311,2,0,1,5,1
601331,3,0,1,2,1
601341,2,0,1,2,1
601351,4,2,1,2,1
601381,3,0,1,2,1
601391,3,0,0,2,1
601401,3,0,0,2,1
601431,3,0,1,2,1
601441,4,0,1,5,1
601451,2,0,1,6,1
601461,4,0,1,2,1
601501,3,1,1,5,1
601521,2,0,1,3,1
601541,5,3,0,5,1
601551,2,0,1,5,1
601561,5,3,1,6,1
601571,2,0,1,5,1
601581,1,0,0,5,1
601611,2,0,1,5,1
601641,6,0,1,3,1
601681,3,1,1,2,1
601701,3,1,1,5,1
601721,1,0,0,5,1
601771,3,1,1,2,1
601801,4,0,1,6,1
601821,2,0,1,5,1
601841,4,2,1,5,1
601851,3,1,1,2,1
601871,3,0,1,6,1
601901,5,3,1,5,1
601941,2,0,1,3,1
601951,2,0,1,3,1
601971,3,0,1,3,1
601981,4,0,1,3,1
