taz,overnight2day,percentThru
1,0.00022857,0.246543961
2,0.017307776,0.414875828
3,0.000541558,0.394470336
4,0.054352291,0.07926707
5,0.457709932,0.015688053
6,0.274182163,0.026189078
7,0.043444421,0.165281933
