taz,overnight2day,percentThru
1,0.11249121,0.0644385
2,0.11249121,0.18004875
3,0.06057219,0.042643125
4,0.02,0.3600975
5,0.030286095,0.37905
6,0.06922536,0.02842875
7,0.06922536,0.16109625
10,0.000692408,0
20,0.022157088,0
30,0.00084835,0
40,0.000094,0
50,0.042236949,0
60,0.029773587,0
70,0.029773587,0
