taz,hotelmotel,resort,casino,campground,house,seasonal
286,0,0,0,0,0.27,0.27
287,0,0,0,0,0,0
288,0,0,0,0,0.39,0.39
289,0.48,0.48,0,0,0.32,0.32
290,0.48,0,0,0,0.32,0.32
291,0,0,0,0,0.27,0.27
292,0,0,0,0,0.32,0.32
300,0.71,0,0.79,0,0,0
301,0,0.68,0,0,0,0
302,0,0,0.79,0,0,0
303,0,0,0,0,0.39,0.39
304,0.68,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0.79,0,0.39,0.39
307,0,0,0,0,0,0
308,0,0,0,0,0.39,0.39
309,0.68,0,0,0,0.39,0.39
310,0.68,0.68,0,0,0.39,0.39
311,0.68,0,0,0,0.39,0.39
312,0,0,0,0,0.39,0.39
313,0,0,0,0,0.39,0.39
314,0,0,0,0,0.39,0.39
315,0,0,0,0,0.39,0.39
316,0,0,0,0,0.39,0.39
317,0,0,0,0,0.39,0.39
318,0,0,0,0.79,0.39,0.39
319,0.68,0,0,0,0.39,0.39
320,0,0,0,0,0.39,0.39
321,0,0,0,0,0.39,0.39
322,0,0,0,0,0.39,0.39
323,0,0,0,0,0.39,0.39
324,0,0.68,0,0,0.39,0.39
325,0.68,0,0,0,0.39,0.39
326,0,0,0,0.79,0,0
327,0,0,0,0,0,0
328,0,0,0,0,0,0
329,0,0,0,0,0.39,0.39
330,0,0,0,0,0.39,0.39
331,0,0,0,0,0.39,0.39
332,0,0,0,0,0.39,0.39
333,0,0,0,0,0.39,0.39
334,0,0,0,0,0.39,0.39
335,0,0,0,0,0.39,0.39
336,0,0,0,0,0.39,0.39
337,0,0,0,0,0.39,0.39
338,0,0,0,0,0,0
339,0,0,0,0,0,0
340,0,0,0,0,0.39,0.39
341,0,0,0,0,0.39,0.39
342,0,0,0,0,0.39,0.39
343,0,0,0,0,0.39,0.39
344,0,0,0,0,0,0
345,0,0,0,0,0.39,0.39
346,0,0,0,0,0,0
347,0,0,0,0,0,0
348,0,0,0,0,0,0
349,0,0,0,0,0,0
350,0,0,0,0,0,0
351,0,0,0,0,0,0
352,0,0,0,0,0,0
353,0,0,0,0,0,0
354,0,0,0,0,0,0
355,0,0,0,0,0,0
356,0,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0.39,0.39
359,0,0,0,0,0.39,0.39
360,0,0,0,0,0.39,0.39
361,0.75,0,0,0,0.39,0.39
362,0.75,0,0,0,0.39,0.39
363,0,0.75,0,0,0,0
364,0,0.75,0.75,0,0.39,0.39
365,0,0,0,0,0.39,0.39
366,0,0,0,0,0.39,0.39
367,0,0,0,0,0.39,0.39
368,0,0,0,0,0.39,0.39
369,0.75,0,0,0,0.39,0.39
370,0,0,0,0,0.39,0.39
371,0,0,0,0,0.39,0.39
372,0,0,0,0,0.39,0.39
373,0,0.75,0,0,0.39,0.39
374,0,0,0,0,0.39,0.39
