taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,beach
178,0,0,0,0,0.802469136,0
179,0,0,0,0,0.794520548,0
180,0,0,0,0,0.814814815,0
181,305,0,0,0,0.803418803,1129
182,0,93,0,0,0.793103448,0
183,0,0,0,0,0.796610169,0
184,0,0,0,0,0.814814815,0
185,0,0,0,0,0,0
186,0,0,0,0,0.791666667,0
187,0,0,0,0,0,0
188,0,0,0,0,0.797752809,0
189,164,0,0,0,0.769230769,1024
190,118,0,0,0,0.798913043,0
191,201,0,0,0,0.8,0
192,95,0,0,0,0.804347826,0
200,0,0,1013,0,0,0
201,0,0,0,0,0,0
202,0,0,1160,0,0,0
203,0,0,0,0,1,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,62,0,0,0,0.75,0
207,0,0,0,0,0,0
208,0,0,0,0,0.75,0
209,0,0,0,0,0.748743719,0
210,0,0,0,0,0,0
211,0,0,0,0,0.748466258,0
212,0,0,0,0,0.761904762,0
213,0,0,0,0,0.758064516,0
214,0,0,0,0,0,0
215,0,0,0,0,0.727272727,0
216,0,0,0,0,0.766666667,0
217,0,0,0,0,0.75,0
218,0,0,0,54,0,1791
219,0,0,0,0,0.758064516,0
220,0,0,0,0,0.75,0
221,0,0,0,0,0.75,0
222,0,0,0,0,0.777777778,0
223,0,0,0,0,0.747474747,0
224,0,0,0,0,0.744680851,1294
225,0,12,0,259,0.753846154,0
226,0,0,0,127,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0.754098361,0
230,0,0,0,0,0.785714286,0
231,0,0,0,0,0.746268657,0
232,0,0,0,0,0.833333333,297
233,0,0,0,0,0.75,0
234,0,0,0,0,1,0
235,0,0,0,0,0.833333333,0
236,0,0,0,0,0,0
237,0,0,0,0,0.733333333,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0.757575758,0
241,0,0,0,0,1,0
242,0,0,0,0,0.777777778,0
243,0,0,0,0,1,0
244,0,0,0,0,0,119
245,0,0,0,0,0,445
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,445
250,0,0,0,0,0,1337
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,1730
256,0,0,0,0,0,0
257,0,0,0,0,0,0
258,0,0,0,0,1,697
259,0,0,0,0,1,0
260,0,0,0,0,0.807692308,0
261,30,0,0,0,0.795180723,0
262,8,0,0,0,0.8,0
263,48,0,0,0,0,597
264,0,0,458,0,0.810810811,0
265,0,0,0,0,0,0
266,0,0,0,0,0,0
267,0,0,0,0,0.8,0
268,0,0,0,0,0,0
269,0,0,0,0,0.798561151,0
270,0,0,0,0,0.798319328,0
271,0,0,0,0,0.666666667,0
272,0,0,0,0,0.823529412,0
273,0,0,0,0,0.796460177,338
274,0,0,0,0,0.8,235
275,0,0,0,0,0.8,82
276,0,0,0,0,0.800796813,0
277,0,0,0,0,0.810810811,0
278,0,0,0,0,0.8,0
279,0,0,0,0,0.8,0
280,0,0,0,0,0,0
281,0,0,0,0,0.75,0
282,0,0,0,0,0.789473684,0
283,0,0,0,0,0.797101449,0
284,0,0,0,0,1,0
285,0,0,0,0,0,0
286,0,0,0,0,0.806451613,0
287,0,0,0,0,0.795180723,0
288,0,0,0,0,1,140
289,0,0,0,0,0.777777778,0
290,0,0,0,0,0,0
291,0,0,0,0,0.796992481,0
292,0,0,0,0,0,0
293,0,0,0,0,0.807692308,0
294,0,0,0,0,0.8,0
295,95,0,0,0,0.75,0
296,0,0,19,0,0.80952381,0
297,11,0,0,0,0.666666667,0
