taz,census_tract,block_group,puma,county,county_code,state,state_code,full_census_code,area_in_sq_miles
91,30501,6,1700,El Dorado,17,CA,6,60170305536,0.35
92,30501,6,1700,El Dorado,17,CA,6,60170305536,1.98
93,30501,6,1700,El Dorado,17,CA,6,60170305536,0.03
94,30502,1,1700,El Dorado,17,CA,6,60170305536,0.28
95,30502,2,1700,El Dorado,17,CA,6,60170305536,0.9
96,30502,3,1700,El Dorado,17,CA,6,60170305536,0.32
97,30502,3,1700,El Dorado,17,CA,6,60170305536,0.44
98,30502,3,1700,El Dorado,17,CA,6,60170305536,0.24
99,30502,2,1700,El Dorado,17,CA,6,60170305536,0.66
100,30502,2,1700,El Dorado,17,CA,6,60170305536,1.3
101,30502,2,1700,El Dorado,17,CA,6,60170305536,0.99
102,30502,2,1700,El Dorado,17,CA,6,60170305536,0.43
103,30503,3,1700,El Dorado,17,CA,6,60170305536,0.62
104,30503,3,1700,El Dorado,17,CA,6,60170305536,0.38
105,30503,3,1700,El Dorado,17,CA,6,60170305536,1.67
106,30503,3,1700,El Dorado,17,CA,6,60170305536,1.2
107,30503,3,1700,El Dorado,17,CA,6,60170305536,1.44
108,30503,3,1700,El Dorado,17,CA,6,60170305536,2.08
109,30503,3,1700,El Dorado,17,CA,6,60170305536,0.87
110,30503,3,1700,El Dorado,17,CA,6,60170305536,4.5
111,30503,3,1700,El Dorado,17,CA,6,60170305536,11.56
112,30503,3,1700,El Dorado,17,CA,6,60170305536,0.56
113,30503,3,1700,El Dorado,17,CA,6,60170305536,1.06
114,30503,3,1700,El Dorado,17,CA,6,60170305536,3.37
115,30503,3,1700,El Dorado,17,CA,6,60170305536,6.31
116,30503,3,1700,El Dorado,17,CA,6,60170305536,0.95
117,30503,3,1700,El Dorado,17,CA,6,60170305536,6.5
118,30503,3,1700,El Dorado,17,CA,6,60170305536,2.86
119,30503,3,1700,El Dorado,17,CA,6,60170305536,2.42
120,30503,3,1700,El Dorado,17,CA,6,60170305536,0.83
121,30503,3,1700,El Dorado,17,CA,6,60170305536,0.72
122,30503,3,1700,El Dorado,17,CA,6,60170305536,1.03
123,30503,3,1700,El Dorado,17,CA,6,60170305536,0.65
124,30503,3,1700,El Dorado,17,CA,6,60170305536,0.4
125,30503,3,1700,El Dorado,17,CA,6,60170305536,0.78
126,30503,3,1700,El Dorado,17,CA,6,60170305536,6.51
127,30503,2,1700,El Dorado,17,CA,6,60170305536,5.31
128,30503,2,1700,El Dorado,17,CA,6,60170305536,2.81
129,30503,2,1700,El Dorado,17,CA,6,60170305536,0.47
130,30503,1,1700,El Dorado,17,CA,6,60170305536,0.63
131,30503,3,1700,El Dorado,17,CA,6,60170305536,0.08
132,30503,3,1700,El Dorado,17,CA,6,60170305536,5.07
133,20101,2,1601,Placer,61,CA,6,60610199552,0.05
134,20101,2,1601,Placer,61,CA,6,60610199552,4.48
135,20101,3,1601,Placer,61,CA,6,60610199552,0.03
136,20101,2,1601,Placer,61,CA,6,60610199552,1.59
137,20101,3,1601,Placer,61,CA,6,60610199552,0.11
138,20101,2,1601,Placer,61,CA,6,60610199552,1.09
139,20101,2,1601,Placer,61,CA,6,60610199552,0.14
140,20101,2,1601,Placer,61,CA,6,60610199552,2.14
141,20101,1,1601,Placer,61,CA,6,60610199552,0.71
142,20101,1,1601,Placer,61,CA,6,60610199552,0.11
143,20102,1,1601,Placer,61,CA,6,60610199552,11.44
144,20102,1,1601,Placer,61,CA,6,60610199552,0.74
145,20102,1,1601,Placer,61,CA,6,60610199552,4.33
146,20102,1,1601,Placer,61,CA,6,60610199552,2.29
147,20102,1,1601,Placer,61,CA,6,60610199552,2.8
148,20102,2,1601,Placer,61,CA,6,60610199552,1.53
149,20102,3,1601,Placer,61,CA,6,60610199552,0.49
150,20102,2,1601,Placer,61,CA,6,60610199552,0.05
151,20103,1,1601,Placer,61,CA,6,60610199552,0.56
152,20103,1,1601,Placer,61,CA,6,60610199552,0.08
153,20103,1,1601,Placer,61,CA,6,60610199552,0.24
154,20103,3,1601,Placer,61,CA,6,60610199552,0.15
155,20103,2,1601,Placer,61,CA,6,60610199552,0.05
156,20103,2,1601,Placer,61,CA,6,60610199552,0.01
157,20103,2,1601,Placer,61,CA,6,60610199552,0.07
158,20103,2,1601,Placer,61,CA,6,60610199552,0.07
159,20103,1,1601,Placer,61,CA,6,60610199552,0.03
160,20103,2,1601,Placer,61,CA,6,60610199552,0.69
161,20103,1,1601,Placer,61,CA,6,60610199552,3.03
162,20103,1,1601,Placer,61,CA,6,60610199552,2.97
163,20103,1,1601,Placer,61,CA,6,60610199552,0.43
164,20104,2,1601,Placer,61,CA,6,60610199552,0.08
165,20104,2,1601,Placer,61,CA,6,60610199552,0.04
166,20104,2,1601,Placer,61,CA,6,60610199552,0.36
167,20104,3,1601,Placer,61,CA,6,60610199552,0.38
168,20104,3,1601,Placer,61,CA,6,60610199552,0.15
169,20104,5,1601,Placer,61,CA,6,60610199552,1.05
170,20104,5,1601,Placer,61,CA,6,60610199552,0.05
171,20104,5,1601,Placer,61,CA,6,60610199552,0.83
172,20104,1,1601,Placer,61,CA,6,60610199552,0.05
173,20104,1,1601,Placer,61,CA,6,60610199552,6.48
174,20105,1,1601,Placer,61,CA,6,60610199552,1.95
175,20105,2,1601,Placer,61,CA,6,60610199552,2.84
176,20105,2,1601,Placer,61,CA,6,60610199552,1.12
177,20105,3,1601,Placer,61,CA,6,60610199552,0.06
178,20105,4,1601,Placer,61,CA,6,60610199552,0.49
179,20105,4,1601,Placer,61,CA,6,60610199552,3.39
180,20106,1,1601,Placer,61,CA,6,60610199552,0.18
181,20106,2,1601,Placer,61,CA,6,60610199552,0.5
182,20106,2,1601,Placer,61,CA,6,60610199552,0.33
183,20106,3,1601,Placer,61,CA,6,60610199552,0.22
184,20106,3,1601,Placer,61,CA,6,60610199552,0.33
185,20106,1,1601,Placer,61,CA,6,60610199552,0.22
186,20106,1,1601,Placer,61,CA,6,60610199552,0.75
187,20106,3,1601,Placer,61,CA,6,60610199552,1.33
188,20106,3,1601,Placer,61,CA,6,60610199552,5.13
189,20107,3,1601,Placer,61,CA,6,60610199552,0.06
190,20107,2,1601,Placer,61,CA,6,60610199552,0.68
191,20107,4,1601,Placer,61,CA,6,60610199552,0.13
192,20107,4,1601,Placer,61,CA,6,60610199552,0.78
200,302,2,400,Douglas,5,NV,32,3.20E+11,0.11
201,302,2,400,Douglas,5,NV,32,3.20E+11,0.37
202,302,2,400,Douglas,5,NV,32,3.20E+11,0.11
203,400,1,400,Douglas,5,NV,32,3.20E+11,0.06
