SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
4000928059,200,32,5,656382.46,1942,4466
4000929072,200,32,2,512145.55,1943,4471
4000930699,200,32,1,388812.54,1944,4473
4000932287,200,32,4,1588696.4,1945,4474
4000933667,102,32,3,1994232.06,1946,4478
4000934758,102,32,5,1661860.05,1947,4481
4000935254,102,32,6,2142649.75,1948,4486
4000935406,102,32,1,21949.095,1949,4492
4000936813,102,32,2,1881351,1950,4493
4000938264,102,32,1,1358753.5,1951,4495
4000938829,200,32,6,608303.49,1952,4496
4000939024,102,32,2,836156,1953,4502
4000941885,200,32,2,679376.75,1954,4504
4000942506,102,32,2,826749.245,1955,4506
4000942818,102,32,2,349095.13,1956,4508
4000943117,102,32,3,752540.4,1957,4510
4000945263,200,32,4,630252.585,1958,4513
4000945782,102,32,3,3773153.95,1959,4517
4000946075,102,32,2,1755927.6,1960,4520
4000947925,102,32,1,438981.9,1961,4522
4000948140,102,32,3,1045195,1962,4523
4000949532,200,32,2,794348.2,1963,4526
4000949814,102,32,2,1516577.945,1964,4528
4000950492,200,32,2,219490.95,1965,4530
4000950910,200,32,2,815252.1,1966,4532
4000951258,200,32,2,1411013.25,1967,4534
4000951327,200,32,1,96157.94,1968,4536
4000952621,102,32,2,1334295.937,1969,4537
4000953306,200,32,2,665789.215,1970,4539
4000955958,200,32,2,209039,1971,4541
4000956100,200,32,7,961579.4,1972,4543
4000956616,102,32,2,940675.5,1973,4550
4000956898,200,32,3,1290815.825,1974,4552
4000957615,102,32,1,123333.01,1975,4555
4000958081,200,32,1,364773.055,1976,4556
4000958127,200,32,3,468247.36,1977,4557
4000958214,200,32,2,237259.265,1978,4560
4000958718,102,32,1,501693.6,1979,4562
4000958955,200,32,2,1306493.75,1980,4563
4000960641,200,32,3,533049.45,1981,4565
4000961227,102,32,2,980392.91,1982,4568
4000961314,102,32,2,125423.4,1983,4570
4000961984,102,32,3,313558.5,1984,4572
4000966325,200,32,3,646975.705,1985,4575
4000967039,200,32,4,250846.8,1986,4578
4000968007,200,32,1,1064008.51,1987,4582
4000972122,102,32,3,1400561.3,1988,4583
4000972248,200,32,6,977257.325,1989,4586
4000973307,200,32,1,261298.75,1990,4592
4000973738,102,32,1,355366.3,1991,4593
4000974101,102,32,4,385676.955,1992,4594
4000974193,200,32,1,188135.1,1993,4598
4000975892,102,32,2,2209542.23,1994,4599
4000977930,200,32,4,986664.08,1995,4601
4000979396,102,32,2,720139.355,1996,4605
4000979507,200,32,1,548727.375,1997,4607
4000980959,200,32,3,292654.6,1998,4608
4000980974,102,32,7,1390109.35,1999,4611
4000981763,200,32,1,334462.4,2000,4618
4000984577,200,32,1,178728.345,2001,4619
4000985628,200,32,2,888415.75,2002,4620
4000986711,200,32,3,522597.5,2003,4622
4000987460,200,32,3,846607.95,2004,4625
4000988856,102,32,3,1107906.7,2005,4628
4000991083,200,32,7,262343.945,2006,4631
4000993676,102,32,1,394038.515,2007,4638
4000996064,200,32,3,355366.3,2008,4639
4000996155,200,32,2,306242.135,2009,4642
4000998139,102,32,4,1902254.9,2010,4644
4000999522,200,32,2,888415.75,2011,4648
4001000795,200,32,3,1524939.5050000001,2012,4650
4001001876,102,32,2,648020.9,2013,4653
4001005944,102,32,1,700280.65,2014,4655
4001007727,102,32,3,533049.45,2015,4656
4001007991,200,32,2,560224.52,2016,4659
4001008756,200,32,2,682825.8935,2017,4661
4001010959,102,32,3,1865673.075,2018,4663
4001011357,200,32,4,471382.945,2019,4666
4001019391,200,32,2,2351688.75,2020,4670
4001019441,102,32,1,1525984.7,2021,4672
4001019525,102,32,4,541411.01,2022,4673
4001020141,200,32,1,355366.3,2023,4677
4001020469,102,32,1,347004.74,2024,4678
4001020622,200,32,1,752540.4,2025,4679
