AGE,ENROLL,ESR,HOURS,HHID
73,1,6,0,337
71,1,6,0,337
66,1,6,0,338
63,1,1,40,338
7,2,0,0,338
54,1,1,50,339
51,1,3,36,339
20,1,6,0,339
14,3,0,0,339
83,1,6,0,340
58,1,1,38,341
34,1,1,45,342
26,1,1,24,342
4,2,0,0,342
59,1,1,40,343
52,1,1,32,343
88,1,6,0,344
70,1,6,0,345
66,1,6,0,345
80,1,6,0,346
75,1,6,0,346
34,1,1,20,347
9,2,0,0,347
1,0,0,0,347
83,1,6,0,348
66,1,6,0,348
35,1,1,40,349
30,1,1,40,349
65,1,1,8,350
70,1,6,0,351
73,1,3,0,352
66,1,6,0,352
32,1,1,50,353
32,1,1,40,353
4,3,0,0,353
2,0,0,0,353
54,1,1,50,354
68,1,6,50,355
63,1,1,50,355
57,1,6,40,356
53,1,6,40,356
43,2,6,0,357
24,1,1,30,357
23,1,1,30,357
12,2,0,0,357
38,1,1,45,358
36,1,6,0,358
9,2,0,0,358
6,2,0,0,358
5,3,0,0,358
2,0,0,0,358
85,1,6,0,359
61,1,2,50,360
45,1,1,55,361
66,1,1,30,362
60,1,1,40,362
77,1,6,0,363
75,1,6,0,363
37,2,6,0,363
37,1,1,40,364
34,1,6,0,364
4,3,0,0,364
63,1,6,0,365
45,1,1,38,366
44,1,1,50,366
15,2,0,0,366
13,2,0,0,366
52,1,1,25,367
47,1,6,0,367
50,1,1,40,368
48,1,1,40,368
58,1,1,8,369
60,1,1,24,370
55,1,1,36,370
68,1,6,40,371
65,1,6,0,371
29,1,1,42,372
23,2,1,40,372
75,1,6,0,373
42,1,1,40,374
33,1,1,40,374
10,2,0,0,374
8,2,0,0,374
72,1,1,3,375
69,1,6,0,375
57,1,1,50,376
15,2,0,0,376
83,1,6,0,377
68,1,1,25,378
66,1,6,0,378
67,1,6,40,379
66,1,1,12,379
65,1,6,0,380
64,1,6,0,380
43,1,1,40,381
38,2,6,4,381
18,2,6,0,381
16,3,6,0,381
15,2,0,0,381
13,2,0,0,381
50,1,1,20,382
49,1,1,50,382
41,1,1,40,383
64,1,6,0,384
52,1,1,40,385
50,1,6,20,385
14,3,0,0,385
61,1,1,40,386
54,1,1,35,386
82,1,6,0,387
79,1,6,0,387
43,1,1,30,388
37,1,1,48,389
31,1,1,30,389
37,1,1,40,390
31,3,1,40,390
9,2,0,0,390
6,2,0,0,390
0,0,0,0,390
73,1,6,0,391
72,1,6,0,391
54,1,6,0,392
74,1,6,0,393
73,1,6,0,393
48,1,2,50,394
45,1,1,40,394
81,1,6,0,395
77,1,6,0,395
59,1,1,40,396
56,1,6,0,396
68,1,1,49,397
68,1,6,25,397
50,1,1,40,398
27,1,1,40,398
8,2,0,0,398
71,1,6,0,399
68,1,6,0,399
48,1,1,70,400
41,1,6,0,400
14,2,0,0,400
8,2,0,0,400
81,1,6,0,401
73,1,6,0,401
65,1,6,0,402
66,1,1,4,403
65,1,1,60,403
55,1,1,40,404
49,1,1,20,404
61,1,1,40,405
56,1,6,0,406
53,1,1,35,406
14,2,0,0,406
94,1,6,0,407
67,1,1,34,408
66,1,6,0,408
74,1,6,0,409
73,1,1,7,409
88,1,6,0,410
49,1,1,40,411
78,1,1,30,412
53,1,6,0,413
48,1,6,0,413
86,1,6,0,414
75,1,6,0,415
74,1,6,0,415
50,1,6,40,416
73,1,6,0,417
72,1,6,0,417
67,1,6,0,418
61,1,6,0,418
86,1,6,0,419
38,1,1,40,420
36,1,1,15,420
17,2,1,16,420
57,1,1,30,421
55,1,1,27,421
7,2,0,0,421
43,1,1,40,422
40,1,6,0,422
9,2,0,0,422
8,2,0,0,422
5,2,0,0,422
24,1,1,30,423
56,1,1,40,424
51,1,1,40,424
71,1,6,0,425
85,1,6,0,426
72,1,6,0,426
73,1,6,0,427
48,1,1,40,427
60,1,2,8,428
60,1,6,40,428
49,1,1,40,429
49,1,1,40,429
61,1,1,40,430
37,1,1,40,431
3,1,0,0,431
81,1,6,0,432
67,1,6,0,432
56,1,1,23,433
68,1,1,4,434
68,1,6,0,435
64,1,1,40,435
11,2,0,0,435
82,1,6,0,436
77,1,6,0,436
68,1,6,0,436
67,1,6,0,436
56,1,3,40,436
73,1,6,0,437
38,1,1,30,438
30,1,1,50,438
52,1,6,0,439
51,1,3,49,439
30,1,6,0,439
66,1,6,0,440
66,1,6,0,440
39,1,1,44,441
38,1,3,32,441
12,2,0,0,441
8,2,0,0,441
78,1,6,0,442
40,1,6,0,443
39,1,1,50,443
2,0,0,0,443
46,1,1,30,444
46,1,1,50,444
16,2,6,6,444
34,1,3,0,445
55,1,1,40,446
51,1,1,38,446
15,2,0,0,446
56,1,1,40,447
53,1,1,40,447
46,1,6,0,448
45,1,3,0,448
75,1,6,0,449
67,1,6,0,449
72,1,6,0,450
70,1,6,20,450
83,1,6,0,451
79,1,6,0,451
58,1,2,5,452
57,1,1,40,452
36,1,1,40,453
35,1,1,40,453
11,2,0,0,453
34,1,1,30,454
32,1,6,0,454
78,1,6,0,455
76,1,6,0,455
47,1,1,40,456
36,1,1,40,456
3,1,0,0,456
1,0,0,0,456
68,1,6,0,457
78,1,6,0,458
28,1,1,35,459
24,1,1,25,459
3,2,0,0,459
1,0,0,0,459
79,1,1,12,460
59,1,6,0,460
94,1,6,0,461
50,1,1,30,462
46,1,1,50,462
16,3,6,10,462
13,3,0,0,462
11,3,0,0,462
90,1,6,0,463
88,1,6,0,464
44,2,6,36,465
43,1,1,40,465
10,2,0,0,465
3,1,0,0,465
26,1,1,35,466
54,1,3,0,467
52,1,1,40,467
35,1,6,0,468
32,1,1,40,468
16,2,6,0,468
73,1,6,0,469
73,1,6,0,469
71,1,6,0,470
69,1,6,0,470
41,1,1,40,471
39,1,1,40,471
25,1,1,15,471
8,3,0,0,471
5,3,0,0,471
83,1,6,0,472
46,1,6,12,472
15,2,0,0,472
68,1,1,40,473
68,1,1,40,473
59,1,1,45,474
42,1,1,20,474
9,2,0,0,474
44,1,1,40,475
13,2,0,0,475
11,2,0,0,475
64,1,6,0,476
50,1,1,47,477
71,1,1,25,478
1,0,0,0,478
56,1,6,30,479
55,1,6,40,480
50,1,1,50,480
64,1,6,0,481
54,1,1,40,482
80,1,6,0,483
79,1,6,0,483
53,1,6,0,483
57,1,1,3,484
77,1,6,0,485
64,1,6,0,485
36,1,1,72,486
35,1,6,12,486
16,2,6,0,486
13,2,0,0,486
9,2,0,0,486
7,2,0,0,486
0,0,0,0,486
39,1,1,40,487
9,2,0,0,487
5,3,0,0,487
65,1,6,0,488
84,1,6,0,489
83,1,1,40,490
82,1,1,40,490
56,1,1,32,490
80,1,6,0,491
74,1,6,0,491
42,1,6,40,492
40,1,1,40,492
53,1,1,36,493
45,1,1,36,493
23,1,1,40,493
23,1,6,0,493
0,0,0,0,493
55,1,1,60,494
54,1,1,40,494
25,1,6,0,494
23,2,6,0,494
21,2,6,0,494
70,1,6,0,495
67,1,3,10,495
88,1,6,0,496
65,1,6,6,496
55,1,1,40,497
50,1,1,40,497
87,1,6,0,498
64,1,6,0,498
69,1,6,0,499
57,1,6,8,500
38,1,1,40,500
11,2,0,0,500
7,2,0,0,500
32,1,1,45,501
32,1,1,40,501
52,1,1,40,502
52,1,1,45,502
21,1,1,15,502
61,1,6,0,503
57,1,6,25,503
69,1,6,0,504
58,1,1,30,504
39,1,3,50,504
4,2,0,0,504
66,1,6,0,505
63,1,6,0,505
74,1,6,0,506
36,1,1,1,507
34,1,1,25,507
61,1,1,40,508
75,1,6,0,509
73,1,6,0,509
65,1,6,0,510
61,1,1,40,510
59,1,2,40,511
32,2,1,24,512
25,1,1,25,512
53,1,6,20,513
51,1,1,34,513
16,2,6,0,513
56,1,1,60,514
47,1,1,40,514
63,1,6,0,515
61,1,6,0,515
27,1,3,0,515
25,1,1,31,515
43,1,1,30,516
40,1,1,40,516
19,1,1,20,516
32,1,1,55,517
74,1,1,20,518
61,1,1,40,519
59,1,1,40,519
67,1,6,0,520
67,1,6,0,520
85,1,6,0,521
58,1,1,40,522
57,1,3,0,522
60,1,3,40,523
54,1,1,40,523
58,1,1,40,524
56,1,1,20,524
38,1,1,40,525
61,1,1,50,526
59,1,1,30,526
65,1,6,0,527
64,1,1,25,527
49,1,1,40,528
48,1,1,20,528
18,2,6,0,528
15,2,0,0,528
48,1,1,30,529
19,1,1,35,529
15,2,0,0,529
42,1,2,40,530
39,1,1,30,530
12,2,0,0,530
9,2,0,0,530
63,1,6,0,531
74,1,6,0,532
63,1,6,0,532
54,1,1,40,532
75,1,6,0,533
63,1,6,0,534
38,1,1,40,534
62,1,6,0,535
33,1,1,56,536
13,2,0,0,536
66,1,6,0,537
55,1,6,0,537
82,1,6,0,538
62,1,1,14,539
52,1,6,0,539
70,1,6,0,540
84,1,6,0,541
52,1,1,40,541
49,1,1,40,541
15,2,0,0,541
69,1,6,0,542
64,1,6,0,543
59,1,1,40,543
61,1,1,30,544
55,1,1,41,544
16,2,3,0,544
94,1,6,0,545
32,1,1,40,546
29,1,1,45,546
64,1,1,50,547
60,1,6,0,547
54,1,1,50,548
74,1,1,45,549
74,1,6,0,549
74,1,6,0,550
42,1,1,40,551
39,1,1,30,551
13,2,0,0,551
10,2,0,0,551
66,1,6,0,552
59,1,1,35,553
54,1,1,35,553
75,1,6,10,554
69,1,6,0,554
36,1,6,0,555
35,1,3,40,555
0,0,0,0,555
72,1,6,0,556
55,1,1,40,556
13,2,0,0,556
59,1,1,40,557
59,1,6,8,557
53,1,6,0,558
49,1,1,45,558
51,1,1,50,559
50,1,1,50,559
70,1,6,0,560
63,1,6,0,560
67,1,6,0,561
64,1,6,0,561
35,1,1,50,562
35,1,1,50,562
61,1,1,50,563
60,1,6,0,563
28,3,6,0,563
26,3,6,0,563
62,1,6,40,564
57,1,1,40,564
61,1,1,45,565
60,1,1,42,565
61,1,1,40,566
58,1,1,30,566
88,1,6,0,567
61,1,1,40,567
58,1,6,0,567
25,1,1,40,567
54,1,1,40,568
47,1,1,40,568
18,2,6,0,568
14,2,0,0,568
70,1,1,30,569
57,1,1,30,569
56,1,1,40,570
56,1,1,40,570
72,1,6,0,571
70,1,6,0,571
70,1,1,5,572
67,1,1,10,572
67,1,6,0,573
58,1,1,50,574
56,1,1,40,574
63,1,6,0,575
58,1,6,0,575
23,2,6,0,575
89,1,6,0,576
36,1,1,40,577
36,1,2,16,577
8,2,0,0,577
5,2,0,0,577
50,1,1,30,578
52,1,1,20,579
49,1,1,40,579
24,1,1,40,579
3,1,0,0,579
58,1,1,40,580
47,2,6,50,580
17,2,6,0,580
12,2,0,0,580
45,1,1,40,581
21,1,1,7,581
76,1,6,0,582
69,1,6,0,583
67,1,6,0,583
66,1,6,0,584
69,1,6,0,585
67,1,6,0,585
94,1,6,0,586
63,1,6,0,586
37,1,1,40,587
34,1,6,0,587
13,2,0,0,587
10,2,0,0,587
35,1,1,40,588
28,1,1,38,588
6,2,0,0,588
3,1,0,0,588
84,1,6,0,589
82,1,6,0,589
50,1,1,65,590
40,1,1,50,590
16,2,6,0,590
83,1,6,0,591
51,1,1,40,591
23,1,6,0,591
67,1,1,4,592
62,1,1,4,592
33,1,2,40,593
4,2,0,0,593
3,1,0,0,593
58,1,6,0,594
55,1,1,65,595
50,1,6,0,595
27,1,6,20,596
67,1,1,40,597
65,1,6,0,597
40,1,1,40,598
65,1,6,20,599
61,1,6,0,599
44,1,1,40,600
39,1,1,20,600
19,1,1,40,600
17,2,6,0,600
50,1,6,0,601
64,1,1,18,602
57,1,6,4,602
24,2,1,20,602
70,1,6,0,603
53,1,1,40,604
50,1,1,60,605
48,1,1,30,605
17,2,6,0,605
58,1,1,40,606
58,1,1,32,607
59,1,1,42,608
38,1,1,40,609
37,1,1,40,609
55,2,1,50,610
50,3,1,40,610
22,1,1,40,610
70,1,6,0,611
61,1,6,27,612
59,1,1,72,612
38,1,1,60,613
34,1,1,55,613
