State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
32,510,300,4+,2,high,95
32,510,300,4+,3+,low,0
32,510,300,4+,3+,med,8
32,510,300,4+,3+,high,29
6,17,30101,1,0,low,25
6,17,30101,1,0,med,0
6,17,30101,1,0,high,0
6,17,30101,1,1,low,6
6,17,30101,1,1,med,13
6,17,30101,1,1,high,0
6,17,30101,2,0,low,0
6,17,30101,2,0,med,4
6,17,30101,2,0,high,0
6,17,30101,2,1,low,10
6,17,30101,2,1,med,4
6,17,30101,2,1,high,0
6,17,30101,2,2,low,2
6,17,30101,2,2,med,16
6,17,30101,2,2,high,4
6,17,30101,3,0,low,2
6,17,30101,3,0,med,2
6,17,30101,3,0,high,0
6,17,30101,3,1,low,4
6,17,30101,3,1,med,0
6,17,30101,3,1,high,0
6,17,30101,3,2,low,0
6,17,30101,3,2,med,0
6,17,30101,3,2,high,0
6,17,30101,3,3+,low,2
6,17,30101,3,3+,med,2
6,17,30101,3,3+,high,0
6,17,30101,4+,0,low,0
6,17,30101,4+,0,med,0
6,17,30101,4+,0,high,0
6,17,30101,4+,1,low,0
6,17,30101,4+,1,med,0
6,17,30101,4+,1,high,0
6,17,30101,4+,2,low,20
6,17,30101,4+,2,med,0
6,17,30101,4+,2,high,0
6,17,30101,4+,3+,low,0
6,17,30101,4+,3+,med,0
6,17,30101,4+,3+,high,0
6,17,30102,1,0,low,127
6,17,30102,1,0,med,17
6,17,30102,1,0,high,0
6,17,30102,1,1,low,199
6,17,30102,1,1,med,76
6,17,30102,1,1,high,4
6,17,30102,2,0,low,36
6,17,30102,2,0,med,47
6,17,30102,2,0,high,0
6,17,30102,2,1,low,71
6,17,30102,2,1,med,21
6,17,30102,2,1,high,0
6,17,30102,2,2,low,112
6,17,30102,2,2,med,103
6,17,30102,2,2,high,15
6,17,30102,3,0,low,30
6,17,30102,3,0,med,0
6,17,30102,3,0,high,0
6,17,30102,3,1,low,32
6,17,30102,3,1,med,57
6,17,30102,3,1,high,14
6,17,30102,3,2,low,6
6,17,30102,3,2,med,6
6,17,30102,3,2,high,40
6,17,30102,3,3+,low,6
6,17,30102,3,3+,med,16
6,17,30102,3,3+,high,4
6,17,30102,4+,0,low,31
6,17,30102,4+,0,med,12
6,17,30102,4+,0,high,8
6,17,30102,4+,1,low,77
6,17,30102,4+,1,med,31
6,17,30102,4+,1,high,14
6,17,30102,4+,2,low,48
6,17,30102,4+,2,med,102
6,17,30102,4+,2,high,0
6,17,30102,4+,3+,low,35
6,17,30102,4+,3+,med,39
6,17,30102,4+,3+,high,23
6,17,30200,1,0,low,138
6,17,30200,1,0,med,25
6,17,30200,1,0,high,0
6,17,30200,1,1,low,222
6,17,30200,1,1,med,31
6,17,30200,1,1,high,0
6,17,30200,2,0,low,67
6,17,30200,2,0,med,27
6,17,30200,2,0,high,8
6,17,30200,2,1,low,73
6,17,30200,2,1,med,66
6,17,30200,2,1,high,29
6,17,30200,2,2,low,110
6,17,30200,2,2,med,119
6,17,30200,2,2,high,30
6,17,30200,3,0,low,55
6,17,30200,3,0,med,10
6,17,30200,3,0,high,0
6,17,30200,3,1,low,53
6,17,30200,3,1,med,16
6,17,30200,3,1,high,10
6,17,30200,3,2,low,4
6,17,30200,3,2,med,55
6,17,30200,3,2,high,24
6,17,30200,3,3+,low,22
6,17,30200,3,3+,med,7
6,17,30200,3,3+,high,10
6,17,30200,4+,0,low,50
6,17,30200,4+,0,med,44
6,17,30200,4+,0,high,4
6,17,30200,4+,1,low,62
6,17,30200,4+,1,med,36
6,17,30200,4+,1,high,4
6,17,30200,4+,2,low,82
6,17,30200,4+,2,med,112
6,17,30200,4+,2,high,39
6,17,30200,4+,3+,low,10
6,17,30200,4+,3+,med,43
6,17,30200,4+,3+,high,52
6,17,30300,1,0,low,245
6,17,30300,1,0,med,55
6,17,30300,1,0,high,4
6,17,30300,1,1,low,403
6,17,30300,1,1,med,72
6,17,30300,1,1,high,4
6,17,30300,2,0,low,59
6,17,30300,2,0,med,65
6,17,30300,2,0,high,14
6,17,30300,2,1,low,197
6,17,30300,2,1,med,78
6,17,30300,2,1,high,24
6,17,30300,2,2,low,134
6,17,30300,2,2,med,101
6,17,30300,2,2,high,80
6,17,30300,3,0,low,47
6,17,30300,3,0,med,28
6,17,30300,3,0,high,0
6,17,30300,3,1,low,40
6,17,30300,3,1,med,60
6,17,30300,3,1,high,8
6,17,30300,3,2,low,67
6,17,30300,3,2,med,43
6,17,30300,3,2,high,34
6,17,30300,3,3+,low,0
6,17,30300,3,3+,med,40
6,17,30300,3,3+,high,15
6,17,30300,4+,0,low,30
6,17,30300,4+,0,med,15
6,17,30300,4+,0,high,0
6,17,30300,4+,1,low,37
6,17,30300,4+,1,med,43
6,17,30300,4+,1,high,0
6,17,30300,4+,2,low,91
6,17,30300,4+,2,med,164
6,17,30300,4+,2,high,50
6,17,30300,4+,3+,low,45
6,17,30300,4+,3+,med,45
6,17,30300,4+,3+,high,0
6,17,30401,1,0,low,149
6,17,30401,1,0,med,61
6,17,30401,1,0,high,0
6,17,30401,1,1,low,116
6,17,30401,1,1,med,83
6,17,30401,1,1,high,65
6,17,30401,2,0,low,74
6,17,30401,2,0,med,91
6,17,30401,2,0,high,54
6,17,30401,2,1,low,61
6,17,30401,2,1,med,47
6,17,30401,2,1,high,35
6,17,30401,2,2,low,49
6,17,30401,2,2,med,136
6,17,30401,2,2,high,140
6,17,30401,3,0,low,8
6,17,30401,3,0,med,15
6,17,30401,3,0,high,0
6,17,30401,3,1,low,33
6,17,30401,3,1,med,57
6,17,30401,3,1,high,4
6,17,30401,3,2,low,15
6,17,30401,3,2,med,75
6,17,30401,3,2,high,29
6,17,30401,3,3+,low,8
6,17,30401,3,3+,med,7
6,17,30401,3,3+,high,14
6,17,30401,4+,0,low,0
6,17,30401,4+,0,med,15
6,17,30401,4+,0,high,0
6,17,30401,4+,1,low,12
6,17,30401,4+,1,med,27
6,17,30401,4+,1,high,30
6,17,30401,4+,2,low,27
6,17,30401,4+,2,med,67
6,17,30401,4+,2,high,65
6,17,30401,4+,3+,low,0
6,17,30401,4+,3+,med,65
6,17,30401,4+,3+,high,49
6,17,30402,1,0,low,225
6,17,30402,1,0,med,29
6,17,30402,1,0,high,4
6,17,30402,1,1,low,243
6,17,30402,1,1,med,66
6,17,30402,1,1,high,15
6,17,30402,2,0,low,103
6,17,30402,2,0,med,36
6,17,30402,2,0,high,10
6,17,30402,2,1,low,124
6,17,30402,2,1,med,79
6,17,30402,2,1,high,0
6,17,30402,2,2,low,88
6,17,30402,2,2,med,172
6,17,30402,2,2,high,38
6,17,30402,3,0,low,39
6,17,30402,3,0,med,0
6,17,30402,3,0,high,0
6,17,30402,3,1,low,42
6,17,30402,3,1,med,36
6,17,30402,3,1,high,10
6,17,30402,3,2,low,39
6,17,30402,3,2,med,86
6,17,30402,3,2,high,20
6,17,30402,3,3+,low,0
6,17,30402,3,3+,med,0
6,17,30402,3,3+,high,4
6,17,30402,4+,0,low,15
6,17,30402,4+,0,med,4
6,17,30402,4+,0,high,35
6,17,30402,4+,1,low,55
6,17,30402,4+,1,med,59
6,17,30402,4+,1,high,0
6,17,30402,4+,2,low,6
6,17,30402,4+,2,med,42
6,17,30402,4+,2,high,15
6,17,30402,4+,3+,low,6
6,17,30402,4+,3+,med,57
6,17,30402,4+,3+,high,8
6,17,30501,1,0,low,103
6,17,30501,1,0,med,42
6,17,30501,1,0,high,4
6,17,30501,1,1,low,94
6,17,30501,1,1,med,100
6,17,30501,1,1,high,59
6,17,30501,2,0,low,69
6,17,30501,2,0,med,131
6,17,30501,2,0,high,10
6,17,30501,2,1,low,98
6,17,30501,2,1,med,142
6,17,30501,2,1,high,60
6,17,30501,2,2,low,37
6,17,30501,2,2,med,232
6,17,30501,2,2,high,160
6,17,30501,3,0,low,12
6,17,30501,3,0,med,27
6,17,30501,3,0,high,0
6,17,30501,3,1,low,40
6,17,30501,3,1,med,52
6,17,30501,3,1,high,18
6,17,30501,3,2,low,6
6,17,30501,3,2,med,72
6,17,30501,3,2,high,120
6,17,30501,3,3+,low,0
6,17,30501,3,3+,med,14
6,17,30501,3,3+,high,39
6,17,30501,4+,0,low,2
6,17,30501,4+,0,med,2
6,17,30501,4+,0,high,0
6,17,30501,4+,1,low,71
6,17,30501,4+,1,med,74
6,17,30501,4+,1,high,35
6,17,30501,4+,2,low,14
6,17,30501,4+,2,med,166
6,17,30501,4+,2,high,144
6,17,30501,4+,3+,low,0
6,17,30501,4+,3+,med,12
6,17,30501,4+,3+,high,69
6,17,30502,1,0,low,10
6,17,30502,1,0,med,20
6,17,30502,1,0,high,0
6,17,30502,1,1,low,99
6,17,30502,1,1,med,63
6,17,30502,1,1,high,10
6,17,30502,2,0,low,44
6,17,30502,2,0,med,4
6,17,30502,2,0,high,20
6,17,30502,2,1,low,56
6,17,30502,2,1,med,54
6,17,30502,2,1,high,44
6,17,30502,2,2,low,23
6,17,30502,2,2,med,137
6,17,30502,2,2,high,110
6,17,30502,3,0,low,0
6,17,30502,3,0,med,15
6,17,30502,3,0,high,0
6,17,30502,3,1,low,2
6,17,30502,3,1,med,42
6,17,30502,3,1,high,0
6,17,30502,3,2,low,18
6,17,30502,3,2,med,72
6,17,30502,3,2,high,70
6,17,30502,3,3+,low,10
6,17,30502,3,3+,med,0
6,17,30502,3,3+,high,10
6,17,30502,4+,0,low,0
6,17,30502,4+,0,med,0
6,17,30502,4+,0,high,0
6,17,30502,4+,1,low,18
6,17,30502,4+,1,med,42
6,17,30502,4+,1,high,0
6,17,30502,4+,2,low,19
6,17,30502,4+,2,med,91
6,17,30502,4+,2,high,50
6,17,30502,4+,3+,low,0
6,17,30502,4+,3+,med,33
6,17,30502,4+,3+,high,4
6,17,30503,1,0,low,40
6,17,30503,1,0,med,4
6,17,30503,1,0,high,20
6,17,30503,1,1,low,17
6,17,30503,1,1,med,21
6,17,30503,1,1,high,10
6,17,30503,2,0,low,10
6,17,30503,2,0,med,10
6,17,30503,2,0,high,4
6,17,30503,2,1,low,0
6,17,30503,2,1,med,23
6,17,30503,2,1,high,20
6,17,30503,2,2,low,4
6,17,30503,2,2,med,59
6,17,30503,2,2,high,44
6,17,30503,3,0,low,0
6,17,30503,3,0,med,4
6,17,30503,3,0,high,0
6,17,30503,3,1,low,28
6,17,30503,3,1,med,7
6,17,30503,3,1,high,20
6,17,30503,3,2,low,18
6,17,30503,3,2,med,26
6,17,30503,3,2,high,4
6,17,30503,3,3+,low,0
6,17,30503,3,3+,med,0
6,17,30503,3,3+,high,4
6,17,30503,4+,0,low,0
6,17,30503,4+,0,med,0
6,17,30503,4+,0,high,0
6,17,30503,4+,1,low,0
6,17,30503,4+,1,med,14
6,17,30503,4+,1,high,10
6,17,30503,4+,2,low,15
6,17,30503,4+,2,med,13
6,17,30503,4+,2,high,0
6,17,30503,4+,3+,low,0
6,17,30503,4+,3+,med,10
6,17,30503,4+,3+,high,0
6,61,20101,1,0,low,12
6,61,20101,1,0,med,2
6,61,20101,1,0,high,24
6,61,20101,1,1,low,39
6,61,20101,1,1,med,25
6,61,20101,1,1,high,10
6,61,20101,2,0,low,4
6,61,20101,2,0,med,21
6,61,20101,2,0,high,0
6,61,20101,2,1,low,0
6,61,20101,2,1,med,59
6,61,20101,2,1,high,20
6,61,20101,2,2,low,8
6,61,20101,2,2,med,26
6,61,20101,2,2,high,25
6,61,20101,3,0,low,0
6,61,20101,3,0,med,0
6,61,20101,3,0,high,0
6,61,20101,3,1,low,0
6,61,20101,3,1,med,0
6,61,20101,3,1,high,10
6,61,20101,3,2,low,0
6,61,20101,3,2,med,0
6,61,20101,3,2,high,10
6,61,20101,3,3+,low,0
6,61,20101,3,3+,med,4
6,61,20101,3,3+,high,4
6,61,20101,4+,0,low,10
6,61,20101,4+,0,med,0
6,61,20101,4+,0,high,0
6,61,20101,4+,1,low,0
6,61,20101,4+,1,med,0
6,61,20101,4+,1,high,4
6,61,20101,4+,2,low,2
6,61,20101,4+,2,med,12
6,61,20101,4+,2,high,15
6,61,20101,4+,3+,low,0
6,61,20101,4+,3+,med,0
6,61,20101,4+,3+,high,0
6,61,20102,1,0,low,23
6,61,20102,1,0,med,10
6,61,20102,1,0,high,8
6,61,20102,1,1,low,47
6,61,20102,1,1,med,37
6,61,20102,1,1,high,25
6,61,20102,2,0,low,7
6,61,20102,2,0,med,11
6,61,20102,2,0,high,0
6,61,20102,2,1,low,11
6,61,20102,2,1,med,5
6,61,20102,2,1,high,19
6,61,20102,2,2,low,26
6,61,20102,2,2,med,27
6,61,20102,2,2,high,34
6,61,20102,3,0,low,0
6,61,20102,3,0,med,0
6,61,20102,3,0,high,0
6,61,20102,3,1,low,0
6,61,20102,3,1,med,0
6,61,20102,3,1,high,10
6,61,20102,3,2,low,0
6,61,20102,3,2,med,10
6,61,20102,3,2,high,55
6,61,20102,3,3+,low,0
6,61,20102,3,3+,med,10
6,61,20102,3,3+,high,20
6,61,20102,4+,0,low,0
6,61,20102,4+,0,med,0
6,61,20102,4+,0,high,0
6,61,20102,4+,1,low,11
6,61,20102,4+,1,med,18
6,61,20102,4+,1,high,20
6,61,20102,4+,2,low,3
6,61,20102,4+,2,med,15
6,61,20102,4+,2,high,0
6,61,20102,4+,3+,low,0
6,61,20102,4+,3+,med,0
6,61,20102,4+,3+,high,10
6,61,20103,1,0,low,28
6,61,20103,1,0,med,1
6,61,20103,1,0,high,0
6,61,20103,1,1,low,56
6,61,20103,1,1,med,27
6,61,20103,1,1,high,0
6,61,20103,2,0,low,7
6,61,20103,2,0,med,7
6,61,20103,2,0,high,0
6,61,20103,2,1,low,13
6,61,20103,2,1,med,5
6,61,20103,2,1,high,15
6,61,20103,2,2,low,28
6,61,20103,2,2,med,70
6,61,20103,2,2,high,34
6,61,20103,3,0,low,0
6,61,20103,3,0,med,0
6,61,20103,3,0,high,0
6,61,20103,3,1,low,14
6,61,20103,3,1,med,16
6,61,20103,3,1,high,10
6,61,20103,3,2,low,4
6,61,20103,3,2,med,4
6,61,20103,3,2,high,10
6,61,20103,3,3+,low,0
6,61,20103,3,3+,med,8
6,61,20103,3,3+,high,8
6,61,20103,4+,0,low,0
6,61,20103,4+,0,med,0
6,61,20103,4+,0,high,0
6,61,20103,4+,1,low,0
6,61,20103,4+,1,med,0
6,61,20103,4+,1,high,4
6,61,20103,4+,2,low,0
6,61,20103,4+,2,med,8
6,61,20103,4+,2,high,34
6,61,20103,4+,3+,low,0
6,61,20103,4+,3+,med,0
6,61,20103,4+,3+,high,34
6,61,20104,1,0,low,83
6,61,20104,1,0,med,2
6,61,20104,1,0,high,4
6,61,20104,1,1,low,90
6,61,20104,1,1,med,25
6,61,20104,1,1,high,14
6,61,20104,2,0,low,30
6,61,20104,2,0,med,39
6,61,20104,2,0,high,29
6,61,20104,2,1,low,16
6,61,20104,2,1,med,6
6,61,20104,2,1,high,40
6,61,20104,2,2,low,17
6,61,20104,2,2,med,76
6,61,20104,2,2,high,19
6,61,20104,3,0,low,0
6,61,20104,3,0,med,4
6,61,20104,3,0,high,4
6,61,20104,3,1,low,13
6,61,20104,3,1,med,16
6,61,20104,3,1,high,19
6,61,20104,3,2,low,3
6,61,20104,3,2,med,9
6,61,20104,3,2,high,4
6,61,20104,3,3+,low,0
6,61,20104,3,3+,med,14
6,61,20104,3,3+,high,30
6,61,20104,4+,0,low,0
6,61,20104,4+,0,med,10
6,61,20104,4+,0,high,0
6,61,20104,4+,1,low,8
6,61,20104,4+,1,med,27
6,61,20104,4+,1,high,0
6,61,20104,4+,2,low,0
6,61,20104,4+,2,med,10
6,61,20104,4+,2,high,50
6,61,20104,4+,3+,low,0
6,61,20104,4+,3+,med,10
6,61,20104,4+,3+,high,4
6,61,20105,1,0,low,60
6,61,20105,1,0,med,10
6,61,20105,1,0,high,4
6,61,20105,1,1,low,41
6,61,20105,1,1,med,43
6,61,20105,1,1,high,15
