SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
6001163029,300,6,3,209968.42799999999,7367,17032
6001163331,6103,6,3,9359033.900999999,7368,17035
6001163785,300,6,2,798703.4319999999,7369,17038
6001164954,300,6,2,1685922.966,7370,17040
6001164996,6103,6,3,535625.3428,7371,17042
6001165727,300,6,2,968839.6141,7372,17045
6001167174,1700,6,2,314952.642,7373,17047
6001168429,6103,6,4,1471837.51,7374,17049
6001169778,1700,6,4,2367291.1,7375,17053
6001170061,300,6,2,687543.676,7376,17057
6001170080,1700,6,2,1824872.6609999998,7377,17059
6001170784,1700,6,2,864575.88,7378,17061
6001171405,6103,6,5,856341.8239999999,7379,17063
6001171935,300,6,2,1449193.856,7380,17068
6001172197,6103,6,1,86457.588,7381,17070
6001172255,300,6,5,730772.47,7382,17071
6001172269,1700,6,2,2056455.4859999998,7383,17076
6001173493,1700,6,1,94691.644,7384,17078
6001173971,300,6,3,1194143.9714,7385,17079
6001176447,6103,6,1,131744.896,7386,17082
6001178335,6103,6,3,596969.0599999999,7387,17083
6001178764,300,6,1,185266.25999999998,7388,17086
6001179330,1700,6,4,1018974.72257,7389,17087
6001179888,300,6,2,1482130.0799999998,7390,17091
6001180930,1700,6,2,327303.72599999997,7391,17093
6001181834,300,6,2,358181.436,7392,17095
6001181871,1700,6,1,154388.55,7393,17097
6001183035,300,6,1,56609.134999999995,7394,17098
6001183397,300,6,3,127627.86799999999,7395,17099
6001183683,300,6,4,463165.64999999997,7396,17102
6001183960,300,6,3,689602.19,7397,17106
6001184700,1700,6,4,1721946.961,7398,17109
6001184724,300,6,1,0,7399,17113
6001184881,6103,6,3,905746.1599999999,7400,17114
6001185019,1700,6,2,1357795.8344,7401,17117
6001185573,1700,6,4,5187455.279999999,7402,17119
6001186279,1700,6,2,3026015.58,7403,17123
6001186755,6103,6,2,432287.94,7404,17125
6001187811,300,6,2,627846.77,7405,17127
6001188046,1700,6,1,638139.34,7406,17129
6001188941,1700,6,2,1743561.358,7407,17130
6001189663,1700,6,2,671075.564,7408,17132
6001189688,1700,6,2,678280.363,7409,17134
6001190303,1700,6,2,292308.988,7410,17136
6001190504,6103,6,1,8357566.84,7411,17138
6001190753,6103,6,4,1801199.75,7412,17139
6001191036,1700,6,3,1338034.0999999999,7413,17143
6001191243,300,6,1,99323.3005,7414,17146
6001191357,1700,6,1,1440959.8,7415,17147
6001193461,6103,6,2,566091.35,7416,17148
6001196063,6103,6,2,347888.866,7417,17150
6001196127,300,6,2,493014.103,7418,17152
6001196213,1700,6,3,901629.132,7419,17154
6001196372,1700,6,3,1950442.015,7420,17157
6001197098,6103,6,3,406556.51499999996,7421,17160
6001197362,300,6,3,648431.9099999999,7422,17163
6001198257,1700,6,4,1648869.714,7423,17166
6001198429,6103,6,2,3934849.511,7424,17170
6001198657,1700,6,5,596969.0599999999,7425,17172
6001199987,1700,6,1,452873.07999999996,7426,17177
6001200543,1700,6,1,610349.401,7427,17178
6001202198,1700,6,1,754445.3809999999,7428,17179
6001202291,6103,6,4,1482130.0799999998,7429,17180
6001202315,1700,6,2,608290.887,7430,17184
6001202973,300,6,2,1106451.275,7431,17186
6001203328,6103,6,2,699894.76,7432,17188
6001206477,300,6,2,230553.568,7433,17190
6001207121,300,6,1,178061.46099999998,7434,17192
6001209497,1700,6,2,1482130.0799999998,7435,17193
6001211027,6103,6,3,1817667.862,7436,17195
6001211045,1700,6,2,1265986.1099999999,7437,17198
6001211160,1700,6,1,0,7438,17200
6001211729,6103,6,3,0,7439,17201
6001212888,300,6,2,1232020.629,7440,17204
6001213790,1700,6,3,476545.991,7441,17206
6001214567,6103,6,2,2212902.55,7442,17209
6001215280,1700,6,2,1564470.64,7443,17211
6001216245,300,6,2,1153797.0969999998,7444,17213
6001217165,1700,6,4,1749736.9,7445,17215
6001217228,300,6,2,648431.9099999999,7446,17219
6001220455,300,6,1,187324.774,7447,17221
6001220508,300,6,5,1292746.792,7448,17222
6001220888,6103,6,2,7760597.779999999,7449,17227
6001221390,300,6,2,1564470.64,7450,17229
6001221435,6103,6,1,0,7451,17231
6001221548,1700,6,2,596969.0599999999,7452,17232
6001221597,6103,6,4,3913235.114,7453,17234
6001223157,1700,6,5,380825.08999999997,7454,17238
6001225981,1700,6,2,545506.21,7455,17243
6001226804,300,6,1,675192.592,7456,17245
6001227159,1700,6,3,2212902.55,7457,17246
6001227764,6103,6,2,1629313.831,7458,17249
6001228710,300,6,2,496616.5025,7459,17251
6001231143,300,6,2,1035432.5419999999,7460,17253
6001231480,1700,6,3,236729.11,7461,17255
6001232319,1700,6,2,922214.272,7462,17258
6001232360,300,6,2,277899.39,7463,17260
6001232395,1700,6,3,781206.063,7464,17262
6001232878,6103,6,2,345830.352,7465,17265
6001233459,300,6,2,1319816.2511,7466,17267
6001234648,1700,6,4,257314.25,7467,17269
6001235058,1700,6,2,167768.891,7468,17273
6001235091,300,6,2,498160.388,7469,17275
6001236748,1700,6,1,110130.499,7470,17277
6001237815,6103,6,1,265548.306,7471,17278
6001237833,1700,6,1,380825.08999999997,7472,17279
6001238035,6103,6,2,1029257,7473,17280
6001238106,6103,6,2,501248.159,7474,17282
6001239091,1700,6,1,360239.95,7475,17284
6001241219,1700,6,4,1873247.74,7476,17285
6001241608,300,6,1,481692.27599999995,7477,17289
6001242213,300,6,2,779353.4003999999,7478,17290
6001243980,1700,6,2,895453.59,7479,17292
6001244867,1700,6,2,164681.12,7480,17294
6001246492,1700,6,4,1729151.76,7481,17296
