1,H
2,HGH
3,HGHGH
4,HGHGTH
5,HGHRH
6,HGHRHOH
7,HGHTRH
8,HGHTRTH
9,HGTH
10,HGTHGH
11,HGTHOH
12,HGTHTGH
13,HOH
14,HOHGH
15,HOHOH
16,HOHOHGH
17,HOHOHGHGH
18,HOHOHOH
19,HOHOHRH
20,HOHOHRHRHOH
21,HOHOHSH
22,HOHOTH
23,HOHRH
24,HOHRHGH
25,HOHRHRH
26,HOHRHSH
27,HOHRTH
28,HOHSH
29,HOHSHRH
30,HOHSHSH
31,HOHTGH
32,HOHTGTH
33,HOHTOTH
34,HOHTRH
35,HOHTRTH
36,HOHTSTH
37,HOTH
38,HOTHSTH
39,HOTHTGH
40,HRH
41,HRHGH
42,HRHGHGH
43,HRHGTH
44,HRHOH
45,HRHOHGH
46,HRHOHOH
47,HRHOHRH
48,HRHRH
49,HRHRHGH
50,HRHRHOH
51,HRHRHRH
52,HRHSH
53,HRHSHOH
54,HRHSHOHOH
55,HRHSTH
56,HRHTGH
57,HRHTRH
58,HRHTRTH
59,HRHTSTH
60,HRTH
61,HRTHGH
62,HRTHOH
63,HRTHRH
64,HRTHRTH
65,HRTHTGTH
66,HRTHTRH
67,HSH
68,HSHOH
69,HSHOHGH
70,HSHOHOH
71,HSHRH
72,HSHRHGH
73,HSHRHOH
74,HSHRTH
75,HSHSH
76,HSHSTH
77,HSHTRH
78,HSHTRTH
79,HSTH
80,HSTHGH
81,HSTHOH
82,HTGH
83,HTGHGH
84,HTGHGTH
85,HTGHOH
86,HTGTH
87,HTGTHGH
88,HTGTHOH
89,HTGTHTGH
90,HTOH
91,HTOHRTH
92,HTOTH
93,HTOTHGH
94,HTOTHRH
95,HTRH
96,HTRHGH
97,HTRHGTH
98,HTRHOH
99,HTRHOTH
100,HTRHRH
101,HTRHRTH
102,HTRHSH
103,HTRHTGH
104,HTRHTGTH
105,HTRHTRTH
106,HTRTH
107,HTRTHGH
108,HTRTHOH
109,HTRTHTGH
110,HTSH
111,HTSHGH
112,HTSHOH
113,HTSHTOH
114,HTSHTSTH
115,HTSTH
116,HTSTHOH
117,HTSTHRH
