a,tours,obStops,ibStops,gaming,rec,shop,firstGame,firstRec,lastRec,recBshop
84.00,2.00,1.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
85.00,2.00,1.00,.00,1.00,.00,.00,1.00,.00,.00,.00
86.00,1.00,1.00,1.00,1.00,.00,.00,1.00,.00,.00,.00
87.00,2.00,1.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
88.00,2.00,1.00,1.00,1.00,.00,.00,1.00,.00,.00,.00
89.00,2.00,2.00,1.00,2.00,.00,.00,1.00,.00,.00,.00
90.00,1.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00
91.00,2.00,1.00,1.00,.00,1.00,.00,.00,.00,1.00,.00
92.00,1.00,1.00,1.00,.00,.00,.00,.00,.00,.00,.00
93.00,2.00,1.00,1.00,1.00,.00,.00,.00,.00,.00,.00
94.00,2.00,1.00,1.00,.00,1.00,.00,.00,.00,1.00,.00
95.00,1.00,1.00,.00,.00,1.00,.00,.00,1.00,1.00,.00
96.00,2.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
97.00,2.00,1.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
98.00,2.00,1.00,.00,.00,1.00,.00,.00,1.00,.00,.00
99.00,2.00,1.00,1.00,.00,1.00,.00,.00,1.00,.00,.00
100.00,2.00,1.00,.00,.00,2.00,.00,.00,1.00,1.00,.00
101.00,2.00,1.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
102.00,2.00,1.00,.00,.00,1.00,1.00,.00,1.00,.00,.00
103.00,2.00,2.00,.00,1.00,1.00,.00,.00,1.00,.00,1.00
104.00,2.00,2.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
105.00,2.00,2.00,1.00,.00,2.00,.00,.00,1.00,1.00,.00
106.00,1.00,1.00,1.00,.00,1.00,.00,.00,1.00,1.00,.00
107.00,2.00,1.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
108.00,2.00,1.00,1.00,.00,1.00,.00,.00,1.00,.00,.00
109.00,2.00,2.00,1.00,1.00,1.00,.00,.00,1.00,.00,1.00
110.00,1.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00
111.00,2.00,1.00,.00,1.00,.00,1.00,.00,.00,.00,.00
112.00,2.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00
113.00,2.00,2.00,.00,.00,.00,1.00,.00,.00,.00,.00
114.00,2.00,2.00,1.00,.00,.00,2.00,.00,.00,.00,.00
115.00,1.00,1.00,1.00,.00,.00,1.00,.00,.00,.00,.00
116.00,2.00,1.00,1.00,.00,.00,1.00,.00,.00,.00,.00
117.00,2.00,1.00,1.00,.00,1.00,1.00,.00,.00,1.00,.00
