1,HGH,HGH
2,HGGH,HGTH
3,HGGGH,HTGTH
4,HGGOH,HTGTH
5,HGOH,HGTH
6,HGRH,HTRH
7,HGRGH,HTRTH
8,HGSH,HGTH
9,HOH,HOH
10,HOGH,HTGH
11,HOGOH,HTGTH
12,HOGSH,HTGTH
13,HOOH,HOTH
14,HOOOH,HTOTH
15,HORH,HTRH
16,HORGH,HTRTH
17,HOROH,HTRTH
18,HOSH,HTSH
19,HRH,HRH
20,HRGH,HRTH
21,HROH,HRTH
22,HRRH,HRTH
23,HRRGH,HTRTH
24,HRROH,HTRTH
25,HRRRH,HTRTH
26,HRRSH,HTRTH
27,HRSH,HRTH
28,HSH,HSH
29,HSGH,HTGH
30,HSGOH,HTGTH
31,HSOH,HSTH
32,HSRH,HTRH
